<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
0	157338
1	153281
2	112710
e	98619
3	87812
a	83539
5	82412
7	78662
4	77094
6	76887
8	73421
i	72955
9	70384
n	65639
o	65320
r	64220
t	53748
s	49373
l	44555
c	30436
u	30054
d	26892
S	25343
m	24211
h	24049
A	23758
万	22800
C	21987
尔	21237
斯	21132
g	19721
p	18663
M	17816
E	17306
T	17177
y	16797
P	16141
I	16051
王	15576
R	14626
镇	14049
德	13961
D	13914
李	13483
B	13329
亿	13266
L	13137
O	13059
b	12812
N	12806
张	12754
国	12739
克	12462
大	12079
k	11547
特	11215
马	11203
拉	10931
金	10819
文	10655
中	10640
一	10455
G	10220
v	9970
f	9877
林	9876
乡	9853
H	9833
陈	9816
F	9725
刘	9585
里	8897
罗	8799
山	8761
安	8715
华	8569
利	8490
学	8448
高	8231
明	8182
海	8111
阿	8030
人	7981
w	7929
西	7879
黄	7834
家	7763
子	7706
小	7256
东	7039
W	6995
V	6927
路	6909
杨	6675
K	6578
公	6405
卡	6364
南	6307
亚	6254
三	6223
生	6222
平	6152
布	6128
科	6098
村	6086
尼	6047
周	6046
龙	6011
U	5909
格	5908
成	5843
夫	5774
道	5727
都	5639
x	5592
水	5557
新	5548
维	5504
巴	5494
会	5385
之	5329
于	5254
吴	5245
方	5230
市	5230
江	5149
来	5094
白	5063
石	5042
兰	4931
二	4821
在	4809
天	4794
赵	4787
雷	4772
军	4738
云	4736
玉	4673
百	4616
十	4603
区	4564
不	4544
J	4441
民	4415
达	4387
年	4351
光	4345
孙	4310
z	4284
建	4257
纳	4251
基	4249
和	4247
X	4208
朱	4201
上	4191
花	4189
米	4176
田	4171
法	4146
清	4127
长	4122
普	4119
多	4119
院	4109
伊	4079
全	4044
千	3985
吉	3977
奥	3959
志	3943
胡	3924
福	3916
有	3899
北	3897
地	3892
四	3890
街	3888
元	3882
塔	3879
Y	3848
梅	3835
洛	3806
河	3794
五	3775
阳	3769
武	3744
英	3741
徐	3736
苏	3720
时	3707
心	3684
古	3653
鲁	3621
向	3610
永	3604
县	3546
